,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,10.80809917,9.166161006,0.81,16.02354386,16.85,-2.49,2064.26133,263.38,263.14,23.12,78.31,28.6,27.67,0.572921114,0.74
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,8.505439456,3.844954676,0.25,3.899205631,16.13,-2.29,2124.579773,251.71,251.53,22.33,80.65,28.6,26.22,0.542848481,0.69
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,7.640002955,-5.426507031,1.76,-14.17986492,13.0,-2.33,2045.150437,317.65,317.46,19.55,77.4,28.6,23.89,0.475119559,0.6
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,2.443170287,-10.37169597,40.64,-18.87320515,10.23,-2.91,1389.343677,276.57,276.38,17.97,64.16,28.6,19.7,0.405772194,0.55
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,3.651801708,5.703599988,-0.9,16.35782737,11.56,-2.74,1564.23815,288.36,287.8,19.38,53.57,25.39,20.46,0.416201772,0.62
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-12.66167297,-38.67458151,-27.86,-186.1181601,-10.68,-2.91,-1289.513224,454.03,453.38,12.15,-19.54,-13.66,0.81,0.348038399,0.34
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,47.36466589,82.96258463,0.0,76.19348869,13.01,-0.73,708.508114,151.93,144.74,147.2,-5.92,-2.95,21.02,2.948693376,0.8
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,15.7754875,10.83353815,12.12,37.16385178,11.45,0.97,148.2724051,157.4,157.27,78.49,30.0,12.57,36.11,1.872730678,1.17
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,2.505478255,16.30693493,8.11,-59.83667642,4.72,0.56,19.82543033,184.17,183.89,69.76,15.5,5.09,25.7,2.151167139,1.44
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,-17.03827947,-15.64481368,25.0,-63.98137074,1.83,0.31,-88.50843301,147.37,146.43,75.11,22.7,7.89,12.06,1.959365282,1.3
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,7.967235255,-5.494311212,26.0,-156.651855,-1.02,0.7,-13.00909612,149.66,146.81,95.1,10.1,5.08,12.1,1.963635737,1.13
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,102.2875763,42.35269766,44.64,120.1462037,3.69,0.24,67.6514368,263.29,263.23,38.09,6.28,1.91,15.59,1.712883389,1.18
