,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
7143,에스케이텔레콤(주),17670,202012,198911,,0,0,0,정보통신업,0,7.386723459,6.890724557,4.964854572,-1.35,21.56291104,8.06,2.92,6.44,1.87,107.3,105.21,96.37,20.86,26.33,680.751875
7144,에스케이하이닉스(주),660,201112,199612,,0,0,0,제조업,1,-1.968255571,-3.601471964,-14.07474063,8.27,-90.05606019,-0.54,1.88,-0.72,2.44,102.48,77.91,118.89,46.67,28.89,186.3676853
7145,에스케이하이닉스(주),660,201312,199612,,0,0,0,제조업,1,11.52147767,34.16434946,39.38997521,0.95,106.7267297,20.28,17.14,25.19,1.33,216.13,177.86,59.16,55.52,28.89,344.5965022
7146,에스케이하이닉스(주),660,201412,199612,,0,0,0,제조업,1,29.26332065,38.03089939,20.89970125,3.83,51.17724944,24.5,20.72,26.98,0.68,179.76,153.78,49.05,69.17,28.89,427.1709897
7147,에스케이하이닉스(주),660,201512,199612,,0,0,0,제조업,1,10.39541383,18.58141328,9.76570351,2.73,4.435571154,23.0,18.87,21.93,0.41,201.62,161.89,38.76,91.59,28.89,453.1082253
7148,에스케이하이닉스(주),660,201612,199612,,0,0,0,제조업,1,8.552220632,12.32403031,-8.51166704,0.52,-38.59286745,17.21,10.59,13.01,0.5,236.47,187.77,34.1,90.74,28.89,375.771322
7149,에스케이하이닉스(주),660,201712,199612,,0,0,0,제조업,1,40.98096395,40.78247035,75.07546092,5.2,318.7485389,24.5,20.72,28.33,0.23,213.28,180.75,34.29,87.26,28.89,680.751875
7150,에스케이하이닉스(주),660,202012,199612,,0,0,0,제조업,1,9.85400349,8.272085329,18.19026182,2.7,84.78234745,14.92,7.37,9.53,0.7,182.65,115.02,37.11,48.79,28.89,569.4412921
7151,에스텍(주),69510,201112,200311,,0,0,0,제조업,1,15.04555905,20.98254325,6.686261079,1.57,-52.33199607,5.44,11.1,16.03,-0.21,224.26,167.05,66.71,22.76,5.4,105.7956656
7152,에스텍(주),69510,201312,200311,,0,0,0,제조업,1,12.38667928,7.836658335,5.63141638,2.8,33.78618116,4.54,9.14,11.6,-0.27,226.92,178.17,65.69,16.72,4.46,85.15930303
7153,에스텍(주),69510,201412,200311,,0,0,0,제조업,1,15.52134679,11.569607,23.65225993,9.09,38.74486433,4.74,11.12,13.64,-0.19,206.91,156.89,71.56,15.96,4.18,80.27658333
7154,에스텍(주),69510,201512,200311,,0,0,0,제조업,1,2.607677329,11.17900285,-1.718920386,-4.72,-11.26183456,5.25,9.09,13.34,-0.12,225.49,167.34,58.33,28.55,6.9,84.20443149
7155,에스텍(주),69510,201612,200311,,0,0,0,제조업,1,7.942614167,10.90748884,7.526811612,-0.58,8.421122616,5.08,9.35,12.49,-0.14,233.37,181.83,54.1,31.66,7.32,82.07020528
7156,에스텍(주),69510,201712,200311,,0,0,0,제조업,1,-3.59905684,0.248743377,3.387311088,-2.05,-7.080850149,3.3,8.53,7.97,-0.14,255.36,197.18,48.18,30.59,6.11,84.52664671
7157,에스텍(주),69510,202012,200311,,0,0,0,제조업,1,5.124471034,1.954729105,-7.540919243,-2.3,-23.78014094,3.9,6.07,7.84,-0.24,287.77,208.92,43.23,27.94,6.07,90.83585294
7158,에스트래픽(주),234300,201712,201712,,0,0,0,정보통신업,0,78.12143123,106.7705723,-12.99583838,0.0,-42.10194403,3.79,6.6,9.64,0.69,165.67,164.47,139.26,11.63,9.34,191.3943119
7159,에스티팜(주),237690,201612,201606,,0,0,0,제조업,1,58.27454774,106.7705723,45.13468625,0.0,125.0649121,24.5,20.72,19.61,0.3,436.88,259.36,17.41,93.11,25.34,251.5918474
7160,에스티팜(주),237690,201712,201606,,0,0,0,제조업,1,3.732061338,12.07940973,1.217250619,-9.24,-20.29984246,22.19,16.5,13.55,-0.59,786.39,583.95,8.67,123.47,25.94,228.715177
7161,에스티팜(주),237690,202012,201606,,0,0,0,제조업,1,30.63495173,-2.280890865,33.08266071,5.91,29.53329944,-10.6,-4.78,-4.07,0.02,1062.63,944.43,50.15,-17.29,-14.6,64.59916335
7162,에스퓨얼셀(주),288620,202012,201810,,0,0,0,제조업,1,64.79843752,101.8403329,23.81421374,41.86,-2.399456609,3.36,1.85,2.45,0.63,224.0,179.75,77.98,8.81,9.43,87.89344262
7163,에쓰-오일(주),10950,201112,198705,,0,0,0,제조업,1,31.37443962,14.87937534,54.43621056,2.78,96.0985259,3.73,14.08,24.48,0.05,121.95,58.14,152.67,7.94,1.98,680.751875
7164,에쓰-오일(주),10950,201312,198705,,0,0,0,제조업,1,-4.614119489,-0.40987403,-10.26620144,2.92,-53.17717367,0.93,3.0,5.4,0.05,134.46,62.44,122.65,11.64,2.45,370.048745
